timestamp,open,high,low,close,volume
2020-11-23,6.4300,7.0700,6.4000,6.9500,11093286
2020-11-20,5.7800,5.8600,5.7600,5.7800,2786045
2020-11-19,5.6100,5.6700,5.6000,5.6300,2726235
2020-11-18,5.7400,5.7489,5.6000,5.6000,3292096
2020-11-17,5.7000,5.7200,5.6200,5.6300,4856830
2020-11-16,5.7000,5.8300,5.6500,5.7600,3727077
2020-11-13,5.5000,5.5950,5.5000,5.5500,2108074
2020-11-12,5.4500,5.5500,5.4300,5.4400,2526185
2020-11-11,5.4400,5.6200,5.4200,5.5400,3061912
2020-11-10,5.4900,5.5100,5.3500,5.3900,3384667
2020-11-09,5.6000,6.0900,5.6000,5.6800,6920168
2020-11-06,5.3700,5.3900,5.3100,5.3400,3309262
2020-11-05,5.4800,5.5000,5.3300,5.4000,5092763
2020-11-04,5.5900,5.6200,5.4900,5.5800,2877106
2020-11-03,5.2000,5.4300,5.1900,5.3800,4058284
2020-11-02,5.4600,5.4600,5.2100,5.2200,5694746
2020-10-30,5.1900,5.3500,5.1300,5.3000,4299191
2020-10-29,5.8400,5.8400,5.4000,5.4400,5516173
2020-10-28,5.6000,5.6400,5.4500,5.5200,4682509
2020-10-27,5.7000,5.7500,5.6000,5.7400,5254959
2020-10-26,5.6600,5.6700,5.4300,5.5200,4751888
2020-10-23,5.7400,5.8000,5.5600,5.5800,4238652
2020-10-22,5.6700,5.8900,5.6700,5.8400,5169363
2020-10-21,5.4600,5.4900,5.3650,5.3700,1706342
2020-10-20,5.3700,5.4900,5.3400,5.4100,2922980
2020-10-19,5.3200,5.3700,5.2300,5.2800,2801668
2020-10-16,5.2900,5.3000,5.1600,5.2100,3053290
2020-10-15,5.3900,5.4400,5.3502,5.4100,1745936
2020-10-14,5.5400,5.5900,5.4800,5.5000,2216946
2020-10-13,5.4600,5.5000,5.3500,5.4500,3438106
2020-10-12,5.7600,5.7900,5.5200,5.6000,3661154
2020-10-09,5.5000,5.7000,5.4500,5.7000,4413708
2020-10-08,5.6100,5.9100,5.2300,5.4100,7585287
2020-10-07,5.0300,5.4550,5.0300,5.2300,5741510
2020-10-06,4.9200,4.9850,4.8400,4.8700,3017695
2020-10-05,4.9200,5.0750,4.8800,5.0400,2340405
2020-10-02,4.8100,4.9100,4.8100,4.8100,2132483
2020-10-01,4.8900,4.9500,4.8600,4.9400,1441417
2020-09-30,4.8400,4.8600,4.7750,4.7900,2147789
2020-09-29,4.7300,4.7800,4.5800,4.7300,3475685
2020-09-28,4.7800,4.9700,4.7300,4.9600,4240159
2020-09-25,4.2700,4.2900,4.2000,4.2300,2435215
2020-09-24,4.3400,4.4650,4.3050,4.4100,2463742
2020-09-23,4.3900,4.4500,4.3300,4.3500,1640238
2020-09-22,4.2900,4.2900,4.2100,4.2900,646026
2020-09-21,4.2300,4.2850,4.2000,4.2800,1390997
2020-09-18,4.4200,4.4800,4.3400,4.3400,2835900
2020-09-17,4.2600,4.4000,4.2600,4.3400,7375819
2020-09-16,4.3500,4.3700,4.2710,4.3000,1529230
2020-09-15,4.2300,4.3500,4.2200,4.3200,2713040
2020-09-14,3.9800,4.0600,3.9800,4.0500,1561377
2020-09-11,3.8500,3.8800,3.8000,3.8500,940747
2020-09-10,3.9100,3.9800,3.8301,3.8900,2081272
2020-09-09,3.8700,4.0600,3.8700,3.9700,2005196
2020-09-08,3.7700,3.8300,3.6810,3.7400,2905486
2020-09-04,3.5200,3.5800,3.4250,3.5600,1428556
2020-09-03,3.5700,3.5850,3.4600,3.4800,2230119
2020-09-02,3.6400,3.6500,3.5700,3.6400,965099
2020-09-01,3.6200,3.6600,3.6100,3.6400,1090240
2020-08-31,3.5700,3.5700,3.4400,3.5400,1837784
2020-08-28,3.6500,3.6500,3.5800,3.6300,1460606
2020-08-27,3.7500,3.7500,3.6400,3.6500,1039650
2020-08-26,3.7600,3.7850,3.7300,3.7600,662748
2020-08-25,3.7400,3.7700,3.6900,3.7300,877235
2020-08-24,3.7800,3.8500,3.7650,3.7900,1140263
2020-08-21,3.6700,3.6800,3.6100,3.6700,1035049
2020-08-20,3.6800,3.7100,3.6200,3.6600,1606641
2020-08-19,3.9300,3.9400,3.8400,3.8600,1713011
2020-08-18,4.0500,4.0600,3.9500,4.0000,1179753
2020-08-17,4.0600,4.1100,3.9700,4.0500,1981327
2020-08-14,3.9700,4.0200,3.9500,3.9600,1058548
2020-08-13,4.0400,4.0400,3.9400,3.9700,1998516
2020-08-12,4.1100,4.1500,4.0500,4.1100,2930662
2020-08-11,4.2400,4.2507,4.1550,4.1900,2439206
2020-08-10,4.2600,4.3900,4.2200,4.2800,3842509
2020-08-07,4.4700,4.4800,4.2200,4.2800,3085469
2020-08-06,4.4800,4.6900,4.4600,4.6000,4411224
2020-08-05,4.1700,4.3400,4.1700,4.2700,2261102
2020-08-04,4.3300,4.3700,4.1200,4.1600,2842413
2020-08-03,3.9300,4.2600,3.9300,4.2300,6403193
2020-07-31,3.7200,3.7200,3.6000,3.7000,2006790
2020-07-30,3.6900,3.7500,3.5700,3.6800,2814216
2020-07-29,3.8800,3.9100,3.6650,3.7000,3397782
2020-07-28,3.9700,3.9800,3.6000,3.6600,4712721
2020-07-27,3.7000,4.1000,3.6700,3.8700,7132802
2020-07-24,3.3900,3.4400,3.2600,3.3400,4655358
2020-07-23,3.2000,3.6050,3.2000,3.3700,6410222
2020-07-22,2.9000,3.0000,2.8950,2.9800,1111478
2020-07-21,2.8200,2.9000,2.8200,2.8900,911100
2020-07-20,2.7800,2.7900,2.7600,2.7800,827592
2020-07-17,2.7600,2.7700,2.7400,2.7400,523700
2020-07-16,2.7900,2.7900,2.7200,2.7600,1213400
2020-07-15,2.7600,2.7600,2.7100,2.7200,408500
2020-07-14,2.6900,2.7700,2.6600,2.7600,1363700
2020-07-13,2.8300,2.8600,2.7900,2.7900,2013100
2020-07-10,2.7800,2.7800,2.7400,2.7500,713300
2020-07-09,2.7900,2.7900,2.7500,2.7500,995700
2020-07-08,2.8100,2.8300,2.7700,2.7700,746500
2020-07-07,2.7900,2.8200,2.7700,2.8000,658100
2020-07-06,2.7900,2.8100,2.7800,2.8100,819600
